X ,Y
45,25
31,90
32,4
26,87
47,4
74,33
23,34
37,44
85,55
51,54
21,34
68,70
94,13
59,60
45,17
97,19
0,70
10,54
17,21
16,40
91,12
9,83
75,20
51,1
89,97
15,69
17,4
23,45
12,78
31,5
88,92
0,50
39,50
34,36
2,71
22,60
20,88
9,52
83,64
42,3
88,82
91,9
7,18
62,31
57,14
17,92
93,71
88,22
75,69
20,22
6,40
20,27
28,36
26,19
16,100
47,77
4,70
21,78
76,53
31,90
47,71
82,52
40,13
48,47
12,12
35,21
27,14
68,7
11,10
21,49
70,54
95,35
67,39
94,66
9,47
4,3
32,96
46,88
55,88
16,78
33,94
5,5
61,24
80,91
52,7
86,52
84,96
5,40
72,34
52,1
13,29
56,9
18,0
70,57
83,19
21,92
30,94
61,34
38,36
41,38
